,alt_title,director,domestic_gross,mojo_slug,opening_per_theater,opening_weekend_take,production_budget,release_date_limited,release_date_wide,title,widest_release,worldwide_gross,year
2181,The Medallion (2003),,22219192.0,medallion,3063.0,8111324.0,,,2003-08-22,The Medallion,2652.0,34268701.0,2003.0
2182,Meek's Cutoff (2011),Kelly Reichardt,977772.0,meekscutoff,10012.0,20024.0,2000000.0,,2011-04-08,Meek's Cutoff,45.0,977772.0,2011.0
2183,Meet Dave (2008),Brian Robbins,11803254.0,meetdave,1744.0,5251918.0,60000000.0,,2008-07-11,Meet Dave,3011.0,50650079.0,2008.0
2184,Meeting Evil (2012),,525.0,meetingevil,181.0,181.0,,,2012-05-04,Meeting Evil,1.0,,2012.0
2185,Meet Joe Black (1998),Martin Brest,44619100.0,meetjoeblack,5999.0,15017995.0,90000000.0,,1998-11-13,Meet Joe Black ,2527.0,142940100.0,1998.0
2186,Meet Monica Velour (2011),,33042.0,meetmonicavelour,3719.0,7438.0,,,2011-04-08,Meet Monica Velour,4.0,,2011.0
2187,Meet the Fockers (2004),Jay Roach,279261160.0,meetthefockers,13110.0,46120980.0,80000000.0,,2004-12-22,Meet the Fockers,3554.0,516642939.0,2004.0
2188,Meet the Parents (2000),Jay Roach,166244045.0,meettheparents,10950.0,28623300.0,55000000.0,,2000-10-06,Meet the Parents,2697.0,330444045.0,2000.0
2189,Meet the Robinsons (2007),,97822171.0,meettherobinsons,7361.0,25123781.0,,,2007-03-30,Meet the Robinsons,3435.0,169333034.0,2007.0
2190,Meet the Spartans (2008),Jason FriedbergAaron Seltzer,38233676.0,meetthespartans,7104.0,18505530.0,,,2008-01-25,Meet the Spartans,2643.0,84646831.0,2008.0
2191,Melancholia (2011),Lars Von Trier,3030848.0,melancholia,13535.0,257174.0,,,2011-11-11,Melancholia,145.0,15946321.0,2011.0
2192,Melinda and Melinda (2005),Woody Allen,3826280.0,melindaandmelinda,74238.0,74238.0,,,2005-03-18,Melinda and Melinda,302.0,20085825.0,2005.0
2193,Memento (2001),Christopher Nolan,25544867.0,memento,21408.0,235488.0,9000000.0,,2001-03-16,Memento,531.0,39723096.0,2001.0
2194,Memoirs of a Geisha (2005),Rob Marshall,57490508.0,memoirsofageisha,4364.0,6751729.0,85000000.0,2005-12-09,2005-12-23,Memoirs of a Geisha,1654.0,162242962.0,2005.0
2195,Memories of Murder (2005),,15357.0,memoriesofmurder,4487.0,4487.0,,,2005-07-15,Memories of Murder ,1.0,229652.0,2005.0
2196,Memory (2007),,,memory,,,,,2007-03-23,Memory ,,,2007.0
2197,"Me, Myself and Irene (2000)",The Farrelly Bros.,90570999.0,memyselfandirene,8019.0,24209385.0,51000000.0,,2000-06-23,"Me, Myself and Irene",3087.0,149270999.0,2000.0
2198,Men in Black (1997),Barry Sonnenfeld,250690539.0,meninblack,16910.0,51068455.0,90000000.0,,1997-07-02,Men in Black,3180.0,589390539.0,1997.0
2199,Mental (2013),,17669.0,mental,817.0,9804.0,,,2013-03-29,Mental,12.0,3595650.0,2013.0
2200,The Men Who Stare at Goats (2009),,32428195.0,menwhostareatgoats,5201.0,12706654.0,25000000.0,,2009-11-06,The Men Who Stare at Goats,2453.0,68968688.0,2009.0
2201,"Men, Women & Children (2014)",Jason Reitman,705908.0,menwomenandchildren,504.0,306367.0,,2014-10-01,2014-10-17,"Men, Women & Children",608.0,2240535.0,2014.0
2202,William Shakespeare's The Merchant of Venice (2004),Michael Radford,3765585.0,merchantofvenice,17467.0,69868.0,30000000.0,,2004-12-29,William Shakespeare's The Merchant of Venice,107.0,21417725.0,2004.0
2203,Mere Brother Ki Dulhan (2011),,496172.0,merebrotherkidulhan,5446.0,403017.0,,,2011-09-09,Mere Brother Ki Dulhan,74.0,496172.0,2011.0
2204,Joyeux Noel (Merry Christmas) (2005),,1054361.0,merrychristmas,,,,,2005-12-16,Joyeux Noel (Merry Christmas),53.0,17709155.0,2005.0
2205,Meskada (2010),Josh Sternfeld,,meskada,,,,,2010-12-03,Meskada,,,2010.0
2206,Message in a Bottle (1999),,52880016.0,messageinabottle,6600.0,16751560.0,80000000.0,,1999-02-12,Message in a Bottle ,2545.0,118880016.0,1999.0
2207,The Messenger: The Story of Joan of Arc (1999),Luc Besson,14276317.0,messenger,2962.0,6360968.0,85000000.0,,1999-11-12,The Messenger: The Story of Joan of Arc ,2147.0,66976317.0,1999.0
2208,The Messengers (2007),,35374833.0,messengers,5820.0,14713321.0,16000000.0,,2007-02-02,The Messengers,2529.0,55010659.0,2007.0
2209,Metallica: Some Kind of Monster (2004),,1222708.0,metallica,15453.0,46359.0,,,2004-07-09,Metallica:Some Kind of Monster,147.0,2009087.0,2004.0
2210,Metropolis (2002) (2002),,722932.0,metropolis,9406.0,84660.0,,,2002-01-25,Metropolis (2002) ,16.0,4035192.0,2002.0
